FitnessStagnationTermination,X,Y,TotalIterations,Stations,Drones,MTSPIteration,GeneticIteration,BestDistance,Genetic,TimeTaken
20,0,0,1348,20,7,1,7,6765.454512649723,6765.501228734096,103545.9992
20,0,0,1110,20,7,1,6,6765.454512649723,6766.870960159601,73990.9105
20,0,0,3300,20,7,1,5,6765.454512649723,6765.6351998684695,153371.3315
20,0,0,3252,20,7,1,4,6765.454512649723,6765.472062219889,93268.1673
20,0,0,730,20,7,1,3,6765.454512649723,6769.333463214224,15426.522
20,0,0,1524,20,7,1,2,6765.454512649723,6765.498198769747,26865.5818
20,0,0,1776,20,7,1,1,6765.454512649723,6765.622501092733,29470.2308
20,0,0,668,20,7,1,0,6765.454512649723,6769.333463214224,8819.6266
10,0,0,332,20,7,1,9,6765.454512649723,6769.333463214224,4293.2584
10,0,0,322,20,7,1,8,6765.454512649723,6769.333463214224,4062.2832
10,0,0,334,20,7,1,7,6765.454512649723,6769.333463214224,3756.329
10,0,0,548,20,7,1,6,6765.454512649723,6766.191686227776,6508.5528
10,0,0,658,20,7,1,5,6765.454512649723,6766.238711484004,6200.222
10,0,0,514,20,7,1,4,6765.454512649723,6766.016143306857,5959.5905
10,0,0,338,20,7,1,3,6765.454512649723,6769.333463214224,3027.8576
10,0,0,664,20,7,1,2,6765.454512649723,6766.238711484004,4875.0652
10,0,0,356,20,7,1,1,6765.454512649723,6769.333463214224,2976.0294
10,0,0,610,20,7,1,0,6765.454512649723,6765.7690870430115,4683.7331
5,0,0,162,20,7,1,9,6765.454512649723,6769.333463214224,1177.8008
5,0,0,146,20,7,1,8,6765.454512649723,6769.333463214224,878.0499
5,0,0,154,20,7,1,7,6765.454512649723,6769.333463214224,970.4714
5,0,0,144,20,7,1,6,6765.454512649723,6769.333463214224,1094.069
5,0,0,150,20,7,1,5,6765.454512649723,6769.333463214224,1038.8622
5,0,0,146,20,7,1,4,6765.454512649723,6769.333463214224,874.0165
5,0,0,168,20,7,1,3,6765.454512649723,6769.333463214224,1101.1617
5,0,0,140,20,7,1,2,6765.454512649723,6769.333463214224,768.6504
5,0,0,166,20,7,1,1,6765.454512649723,6769.333463214224,1066.5923
5,0,0,188,20,7,1,0,6765.454512649723,6769.333463214224,1202.0258
80,0,0,7168,20,7,2,9,6314.614856494789,6314.63769,229616.9869
80,0,0,10288,20,7,2,8,6314.614856494789,6314.63769,403275.0905
80,0,0,7192,20,7,2,7,6314.614856494789,6314.6187240605905,282295.5408
80,0,0,5432,20,7,2,6,6314.614856494789,6314.618875221893,216996.6316
80,0,0,4834,20,7,2,5,6314.614856494789,6314.885676126017,209214.3897
80,0,0,3928,20,7,2,4,6314.614856494789,6314.6187240605905,171571.0075
80,0,0,7778,20,7,2,3,6314.614856494789,6314.614856494789,351924.9094
80,0,0,4480,20,7,2,2,6314.614856494789,6314.6187240605905,210792.9112
80,0,0,13254,20,7,2,1,6314.614856494789,6314.63769,667347.4008
80,0,0,4714,20,7,2,0,6314.614856494789,6314.614856494789,250032.8383
40,0,0,4806,20,7,2,9,6314.614856494789,6314.63769,283221.6535
40,0,0,5218,20,7,2,8,6314.614856494789,6314.6187240605905,309847.0007
40,0,0,4296,20,7,2,7,6314.614856494789,6314.614856494789,262013.484
40,0,0,3878,20,7,2,6,6314.614856494789,6314.659262677652,251189.5518
40,0,0,2642,20,7,2,5,6314.614856494789,6314.741248795523,179265.0661
40,0,0,3946,20,7,2,4,6314.614856494789,6314.786912540306,261986.3834
40,0,0,4120,20,7,2,3,6314.614856494789,6314.618875221893,292781.77
