GenerationNumberTermination,X,Y,TotalIterations,Stations,Drones,MTSPIteration,GeneticIteration,BestDistance,Genetic,TimeTaken
800,0,0,30026,5,1,2,1,2223.6064760040285,2223.606476004029,204895.9245
800,0,0,29872,5,1,2,0,2223.6064760040285,2223.6064878290617,189659.8997
400,0,0,15098,5,1,2,9,2223.6064760040285,2223.606476106194,99752.0611
400,0,0,15074,5,1,2,8,2223.6064760040285,2223.6065098349277,99511.362
400,0,0,15026,5,1,2,7,2223.6064760040285,2223.6065007366383,103529.4078
400,0,0,15088,5,1,2,6,2223.6064760040285,2223.6064774514807,106685.6852
400,0,0,15054,5,1,2,5,2223.6064760040285,2223.6064971011056,96402.9387
400,0,0,14920,5,1,2,4,2223.6064760040285,2223.606507295064,98294.877
400,0,0,14908,5,1,2,3,2223.6064760040285,2223.606555240673,106856.355
400,0,0,14960,5,1,2,2,2223.6064760040285,2223.6064878290617,91821.0811
400,0,0,14968,5,1,2,1,2223.6064760040285,2223.6065098349277,104475.1578
400,0,0,14878,5,1,2,0,2223.6064760040285,2223.606476111414,95301.1911
200,0,0,7496,5,1,2,9,2223.6064760040285,2223.606560306709,54835.4698
200,0,0,7512,5,1,2,8,2223.6064760040285,2223.606519166341,56246.6164
200,0,0,7426,5,1,2,7,2223.6064760040285,2223.6064773372004,46013.4796
200,0,0,7416,5,1,2,6,2223.6064760040285,2223.6064782423173,47792.8668
200,0,0,7488,5,1,2,5,2223.6064760040285,2223.606579532682,55088.3589
200,0,0,7464,5,1,2,4,2223.6064760040285,2223.606481995391,45496.3284
200,0,0,7434,5,1,2,3,2223.6064760040285,2223.606480347673,48800.2024
200,0,0,7518,5,1,2,2,2223.6064760040285,2223.606555240673,49820.768
200,0,0,7524,5,1,2,1,2223.6064760040285,2223.606478955889,50562.7101
200,0,0,7480,5,1,2,0,2223.6064760040285,2223.606508,49593.8009
100,0,0,3708,5,1,2,9,2223.6064760040285,2223.6064924955795,25428.7374
100,0,0,3756,5,1,2,8,2223.6064760040285,2223.6064889812433,27052.4703
100,0,0,3654,5,1,2,7,2223.6064760040285,2223.606562648677,17260.8878
100,0,0,3740,5,1,2,6,2223.6064760040285,2223.606564194487,20391.2459
100,0,0,3800,5,1,2,5,2223.6064760040285,2223.606503556217,22362.1511
100,0,0,3738,5,1,2,4,2223.6064760040285,2223.606555240673,17791.2362
100,0,0,3734,5,1,2,3,2223.6064760040285,2223.6073736267485,19815.6734
100,0,0,3768,5,1,2,2,2223.6064760040285,2223.6064774514807,15597.155
100,0,0,3686,5,1,2,1,2223.6064760040285,2223.606488884654,12292.6326
100,0,0,3692,5,1,2,0,2223.6064760040285,2223.6065315685255,11115.6616
50,0,0,1860,5,1,2,9,2223.6064760040285,2223.608070932496,6427.6354
50,0,0,1822,5,1,2,8,2223.6064760040285,2223.6066128298476,5597.7821
50,0,0,1848,5,1,2,7,2223.6064760040285,2223.6067996659494,7260.3059
50,0,0,1842,5,1,2,6,2223.6064760040285,2223.6064767608127,7031.4506
50,0,0,1844,5,1,2,5,2223.6064760040285,2223.606728179785,6323.1072
